id, body, author
128, "همان گونه که یک تاجر هوشیار از به کار انداختن سرمایه اش در یک جا پرهیز می کند، مصلحت زندگی حکم می کند که آدمی چشم داشت همه ی رضایت خویش را از یک گرایش نداشته باشد.", یاستین گوردر
129, "افرادی که توانایی لبخند زدن و خندیدن دارند، موجوداتی برتر هستند.", گی کورنو
130, "یکی از بدترین چیزها در مورد قانون‌شکنی این است که آدم را با شمار زیادی از افراد دیگر در حال خشم و خصومت نگه می‌دارد. این یکی از بسیار تاثیرات مخرب قوانین ناعادلانه است: قوانین ناعادلانه افرادی را که دون این قوانین) افرادی صلح‌طلب و صادق می‌بودند وسوسه می‌کند که دروغ بگویند تا از مجازات شدن برای رفتاری که اخلاقا جای هیچ سرزنشی ندارد، بگریزند.", وودی آلن
131, "وقتی که معشوقم سوگند می‌خورد که راست می‌گوید، باورش می‌کنم، هر چند می‌دانم که دروغ می‌گوید.", سام هریس
132, "بشر وجود ندارد، مگر در حدی که طرح های خود را تحقق می بخشد. بنابراین، جز مجموعه ی اعمال خود، جز زندگانی خود، هیچ نیست.", ویلیام شکسپیر
133, "اگر انسانها این قدر وقتشان را صرف نکرده بودند تا به این دنیا عادت کنند، هرگز آن را باور نمی‌کردند. این موضوع را بسادگی می‌شود در بچه ها دید. آنها از هر چیزی که در اطرافشان می‌بینند چنان متعجب می شوند، انگار به چشمانشان اطمینان ندارند. به همین دلیل است که مرتب به اطراف اشاره می‌کنند و چشمشان به هرچیزی که می‌افتد درباره آن سووال می‌کنند. اما این موضوع درباره بزرگترها فرق می‌کند. ما پدیده های اطرافمان را آن قدر دیده‌ایم که کم‌کم تمامی واقعیتها را چیزی طبیعی می‌دانیم.", ژان پل سارتر
134, "آرزوی چیزی برخلاف اراده‌ام، مثل این است که وسوسه شوم از ظرف آب نبات دزدی کنم؛ اراده چیزی برخلاف آرزویم، مثل این است که انکار کنم آب نبات دوست دارم؛ تصمیم گیری برای چیزی، مثل این است که خودم ز خودم) نوشته بگیرم که من باید ا نباید) برای دستیابی به فلان چیز تلاش کنم. پس تصمیم گرفتن نوعی پیمان بستن است. همیشه خطر شکست در آن هست و عملی‌ست که همه‌ی وجودم در آن دخیل است.", یاستین گوردر
135, پرسشی که گاهی مرا گیج می کند اینست که آیا من دیوانه هستم یا دیگران؟, رولو می
136, "شما همگان غُرّیدن برایِ «آزادی» را از همه بیش دوست می‌دارید. امّا من بی‌ایمان شده‌ام به «رویدادهایِ بزرگ»ی که پیرامون‌ِشان غُرش و دود فراوان باشد.باورکن، رفیق دوزخی هیاهو! رویدادهایِ بزرگ نه پربانگ‌ترین که خاموش‌ترین ساعت‌هایِ مایند.جهان نه گِردِ پایه‌گذارانِ هیاهوهایِ نو، که گردِ پایه گذارانِ ارزش‌هایِ نو می‌گردد: با گردشی بی‌صدا.", آلبرت اینشتین
137, هیچ چیز محترم تر از یک قلب شاکر و سپاسگزار نیست., فردریش نیچه
138, بهتر است دهان خود را ببندید و ابله به نظر برسید تا اینکه آن را باز کنید و همه تردیدها را از میان ببرید., سنکا
139, "اگر آدم ها در چشم کسانی که واقعا برایشان مهمند، تصویر دوست داشتنی ای از خود ببینند، خودشان را دوست خواهند داشت.", مارک تواین
140, "اگر خردمندی، با این محدودیت به من پیشنهاد می‌شد که باید آن را سربسته نزد خودم نگه می‌داشتم و با دیگران در میان نمی‌گذاشتم، این هدیه را نمی‌پذیرفتم.", اروین دیوید یالوم
141, وقتی ثروت‌های بزرگ به دست افراد مردم می‌افتد در پرتو آن نیرومند می‌شوند و در سایهٔ نیرومندی و ثروت خیال می‌کنند که می‌توانند در خارج از وطن خود زندگی نمایند و خوشبخت و سرافراز باشند ولی به زودی می‌فهمند که اشتباه کرده‌اند و عظمت هر ملتی بر روی خرابه‌های وطن خودش می‌باشد و بس., اروین دیوید یالوم
142, "یک لحظه وضعیت کودکی را در نظر بگیرید که کاری برای پدر و مادرش انجام داده است، او با این اقدام انتظار پاداش دارد. می‌دانیم پاداش واقعی هدیه‌ی مادی نیست، بلکه قدردانی والدین از کودک است. در بزرگسالی از آنجا که دیگر والدین حضور ندارند که با خیرخواهی خود پاداش ما را بدهند و دیگران هم بی اعتنا هستند، خود را با مواد مخدر و اشیا و انواع مسکن‌ها دلداری می‌دهیم. فراموش می‌کنیم که جوهر یک پاداش، اساسا در توجهی است که دریافت می‌شود. جستجوی افراطی رابطه‌ی جنسی، خوراک یا مشروب نشانگر شخصیتی است که تشنه‌ی قدردانی است و پرده از خلائی درونی برمی‌دارد که مشکل می‌توان با آن مواجه شد. در واقع آن قدر به این پاداش های ناچیز وابسته می‌شویم که در نهایت با علاقه به دفاع از آنها می‌پردازیم، تا حدی که شک می‌کنیم چیزهای دیگری هم هست که موجب رضایت بیشتر و پایدارتر می‌شود.جبران، موجب اعتیاد به چیزهایی می‌شود که دیگر نمی‌توانیم از آن ها بگذریم، چرا که می‌ترسیم که اگر آن ها را ترک کنیم، دیگر هیچ چیز نداشته باشیم.", شارل دو مونتسکیو
143, "آن که در جایگاه نخست است، حتماً دارای نقش نخست نیست. چه بسیار پادشاهان که از سوی وزیرانشان و چه بسیار وزرا که از سوی منشی هایشان اداره می شوند.", گی کورنو
144, "لذت ترساندن، ژرف و پایدار است. به همین دلیل، مترسک از ایستادن در دشت خلوت هیچ گاه خسته نمی شود.", یوهان ولفگانگ گوته
145, "آنچه که در یک شب نمایش می‌آموزیم، از عهده یک کتاب بزرگ بیرون است.", جبران خلیل جبران
146, آیا لذت عواطف و احساسات از لذت حسی بیشتر نیست و لذت ذهن عالی‌تر از لذات عواطف و احساسات نمی‌باشد؟ آیا لذت طبیعی و حقیقی آن نیست که آن را نهایتی نباشد؟ آیا تنها دانش نیست که همه اضطرابهای درونی را از میان می‌برد و ذهن را روشن می سازد؟, فرانسوا ولتر
147, "چه بانگ شومی است بانگ سیاست؛ اَه، چه توهینی! خدای را به گاه سحر شکرگزارم که دغدغه و شور امپراتوری روم ندارم. بسی غنیمت، بسی سعادت که نه قیصرم، نه پادشاه جهانم.", فرانسیس بیکن
148, "هنگامی‌که چهارده‌سال بیشتر نداشتم، پدرم به طرز غیرقابل تحملی احمق به نظرم می‌آمد. اما وقتی پا به بیست و یک‌سالگی گذاشتم از این‌که در طول این هفت سال چقدر به معلومات این پیرمرد افزوده شده تعجب کردم.", حکیم عمر خیام
149, ترس یکی از مهمترین عوامل قدرت است؛ کسی که بتواند در جامعه سمت و سوی ترس را معین کند قدرت زیادی بر آن جامعه پیدا می‌کند. شاید بتوان هم صدا با جورجو آگامبنِ فیلسوف گفت که ما امروزه همیشه در یک حالت اضطراری زندگی می‌کنیم که در آن یادآوری خطرهای جدی تقریبا نقش ورق حکم یا برگ برنده را دارد - و این ورق چیزی را که می‌بُرد حقوق دمکراتیکِ به رسمیت شناخته شده است., مارک تواین
150, گر من را مخیر کنند که کشور ما دولت بدون روزنامه و یا روزنامه بدون دولت داشته باشد بی‌شک راه دوم را انتخاب خواهم کرد., لارس اسوندسن
151, "منتسکیو در «نامه‌های ایرانی» با ترغیب شایسته‌ترین احساسات، ملت فرانسه را به مبرم‌ترین و خطرناک‌ترین وظایف خود آگاه ساخت.", توماس جفرسون
152, "نگذارید بچه ها گریه کنند، زیرا باران هم غنچه را تباه می کند.", یوهان ولفگانگ گوته
153, قلم روزنامه‌نگار مانند تیشه‌ای است که نمی‌شود آن را شکست؛ این تیشه بدان منظور ساخته شده‌است که دنیای قدیم را ویران کند و دنیای تازه‌ای به وجود آورد., ژان پل سارتر
154, بهره من از دانش و حکمت تنها این بود که بر جهل خود دانا شدم., فرانسوا ولتر
155, "ما به مثابه یک ملت، باید در ارزش هایمان انقلاب به پا کنیم.", بقراط
156, "بیایید از خود بپرسیم که برای خوشبختی انسان ها چه چیزی مهم‌تر است ... می توان گفت در ردیف نخست آنچه الزامی است، مطمئنا هیجانِ حاصل از ابراز وجود است. هنگامی که موجودی از ابراز وجود محروم می‌شود، مجبور به بستن دهانش می‌شود، چه در سطح خانواده باشد چه در سطحی وسیع تر، این شخص احساس بدبختی می‌کند. این ممنوعیت چه از خارج باشد و چه از درون، در هر حال راه خوشبختی را سد می‌کند. کودکی را از ابراز وجود محروم کنید، ناگهان خشن یا برعکس توسری خور می‌شود. از دیدگاه روان شناسی، از نظر جسمی و روحی بیمار و احتمالا غیرقابل کنترل می‌شود. با رفتارش سعی می‌کند آنچه را ابرازش با کلام ممنوع شده، نشان دهد و همین واکنش در انواع سرکوب رخ می‌دهد. سرکوب در نهایت موجب احساس از خودبیگانگی، یعنی احساس غریبه بودن با خود می‌شود.در مورد کودکی که از نظر جنسی توسط یکی از نزدیکانش مورد سوءاستفاده قرار گرفته است، اگر او بتواند با کسی درد دل کند، رهایی از آثار تجاوز بسیار ساده تر خواهد بود تا در مورد کودک بی‌کس. او می‌تواند بخشی از آنچه را بر او گذشته بپذیرد، بدون آنکه مجبور باشد آنچه را که به عنوان بخش آلوده شده‌ی وجودش احساس می‌کند، نفی کند با برعکس خود را با آن یکی بداند.موضوع ابراز وجود بسیار وسیع است. فعلا به خاطر بسپاریم که فردی که در فعالیت های شغلی، خانواده یا دوستانش قادر به ابراز وجود نیست، بیشتر از سایرین احساس بدبختی و رنج می‌کند. به زبان دیگر، شخصی که در فعالیت شغلی، زندگی زناشویی یا خانوادگی یا میان دوستانش اثر وجودی ندارد، بیش از دیگران احتمال دارد به زندگی بی‌علاقه شود.", مارتین لوتر کینگ جونیور
157, همه اشتباه ها را خودت انجام نده به دیگران هم این فرصت را بده که اشتباه کنند., گی کورنو
158, "این عقیده که نحوه تفسیر تجربه، کیفیت زندگی ما را تعیین می کند نه خود تجربه؛ یک نظریه روان درمانی مهم است که سابقه اش به دوران باستان بازمی گردد؛ یک عقیده بنیادین در مکتب رواقیون که از طریق زنون، سنکا، مارکوس اورلیوس، اسپینوزا، شوپنهاور و نیچه دست به دست گشته، تا به یک مفهوم اساسی هم در درمان پویا و هم در درمان شناختی-رفتاری تبدیل گردد.", فردریش نیچه
159, ضعیف هرگز نمی‌تواند ببخشد. بخشش ویژگی نیرومند است., اروین دیوید یالوم
160, تنها یک طبقه اجتماعی وجود دارد که بیشتر از پولدارها به ‌پول فکر می‌کند و آن نیز بی‌پول‌ها هستند., مهاتما گاندی
161, "چون [ =اگر ] بخشنده ای به فرد نیازمند بخشش و کرم کرد، در دل احساس شادی و سرور کند و ببالد. اما نیکی کردن به کسی که نیاز ندارد روا نیست، چه او هرگز ارزش نیکی را نمی شناسد و همچنان که از خار خشک گل نمی روید، ارج نهادن به نیکی را نمی داند... .", اسکار وایلد
162, "آنچه می شنویم یک نظر است نه یک واقعیت، آنچه می بینیم منظره ای است نه یک حقیقت.", جبران خلیل جبران
163, برخی نومیدانه در قید بندگی هستند و به غلط چنین می پندارند که آزادند., مارکوس اورلیوس
164, هیچ چیز مثل بدبختی کودکان را ساکت نمی‌کند., یوهان ولفگانگ گوته
165, "به نظر می‌رسد ما از نظر فرهنگی آماده‌ایم که خبرهای منفی را خیلی آسان باور کنیم، و ترسی سیال در ما هست که به صورتی مزمن به هر چیز تازه‌ای تسری پیدا می‌کند. جهانی اینگونه ترس زده نمی‌تواند جهانی خوشبخت باشد. درک و تصور عمومی در میان مردم این است که ما امروزه بیش از هر زمان دیگر در معرض خطر هستیم، و این گرایش روز به روز بیشتر می‌شود و عواقب وخیم‌تری به بار می‌آورد. یک عامل موثر در درک و تصور مردم از خوشبختی‌شان تصوری است که می‌توانند از آینده‌شان داشته باشند. مردمی که در شرایط مصیبت‌باری زندگی می‌کنند، اما معتقدند که اوضاع اینگونه نخواهد ماند و بهتر خواهد شد، کلا بسیار راضی‌تر از کسانی هستند که در ناز و نعمت زندگی می‌کنند، اما فکر می‌کنند وضعشان در آینده بسیار بدتر خواهد شد. نگرانی نسبت به آینده می‌تواند بر امروز ما سایه‌افکن باشد. اما شاید به اندازه امروز دلایل ما برای نگرانی اندک نبوده است.", ویکتور هوگو
166, "شادی به شرایط بیرونی بستگی ندارد، بلکه توسط نگرش ذهنی ما اداره می شود.", لارس اسوندسن
167, "آنچه کامل شده، هر آنچه رسیده و پخته، خواهان مرگ است. آنچه نارس است می خواهد زندگی کند. هر آنچه در رنج است، می خواهد زنده بماند، تا شاید رسیده و شادان و دلخواه شود، دلخواه از آن رو که هر چه فراتر رود، برتر و درخشان تر شود.", دیل کارنگی
168, "کالیگولا: ... ه کائسونیا رو می کند.) وای، کائسونیا، من می دانستم که نومیدی هست، اما نمی دانستم یعنی چه. من هم مثل همه خیال می کردم که نومیدی بیماری روح است. اما نه، بدن زجر می کشد. پوست تنم درد می کند، سینه ام، دست و پایم. سرم خالی است و دلم به هم می خورد. و از همه بدتر این طعمی است که در دهنم است. نه خون است، نه مرگ است، نه تب، اما همۀ اینها با هم. کافی است که زبانم را تکان بدهم تا دنیا سیاه بشود و از همۀ موجودات احساس نفرت کنم. چه سخت است، چه تلخ است انسان بودن!", فردریش نیچه
169, "برای بهترین ایده منتظر نمان ، ایده بهتر را انجام بده ، بهترین نیز به دنبال آن خواهد آمد.", آلبر کامو
170, هیچ ندانی به از نیمه‌دانیِ بسیار! به اعتبارِ خود دیوانه بودن به از فرزانه بودن در نظرِ دیگران!, مارک تواین
171, "دروغ گفتن یعنی عامدانه دیگران را گمراه کردن، آن هم زمانی که آنها انتظار سخنی صادقانه دارند. این معیار شعبده بازان، پوکربازان و دیگر فریب کارانی از این دست را معاف می‌کند. در عین حال چشم‌اندازی اجتماعی و روانشناختی به دست می‌دهد که شکل کلی‌اش را به راحتی می‌توان بازشناخت. افراد دروغ می‌گویند برای اینکه دیگران را به باورهایی برسانند که حقیقت ندارد. هرچه عواقب این باورها بیشتر و بزرگتر باشد - یعنی هرچه خوشی و آسایش شخصی بستگی بیشتری به درکی درست از جهان داشته باشد - آن دروغ هم عواقب ناگوار بیشتر و بزرگتری خواهد داشت.", فردریش نیچه
172, دیوانگی یعنی انجام کاری دوباره و دوباره و انتظار نتایج متفاوت داشتن., سام هریس
173, "اگر نمی‌خواهیم بازیچه‌ی دست هر فرومایه‌ای و مایه‌ی ریشخند هر تهی‌مغزی باشیم، اصل اول این است که محتاط و دست نیافتنی بمانیم.", حکیم عمر خیام
174, "اگر آنچه را که می‌پوشید چیزی جز یک وجود پاک نیست، زیاد در بند چند و چون جامه نباشید.", آرتور شوپنهاور
175, مراقب بی ثمری زندگی پرمشغله باشید., مارک تواین
176, "جامعه کارآمد و متکی به خود جامعه‌ای است که فرض را بر این می‌گذارد که از مجموعه افرادی شکل گرفته است که در آن همه اعضا برای خودشان قائل به تکلیفی اخلاقی در قبال همدیگر هستند و همه به همدیگر اعتماد دارند و می‌توانند به هم اطمینان کنند.  چنین است که گئورگ زیمل[جامعه‌شناس و فیلسوف آلمانی] اعتماد را «یکی از مهمترین نیروهای ترکیب کننده در جامعه» توصیف می‌کند. برای هر فردی اعتماد نقش فرضیه‌ای را دارد که آنقدر معقول و پذیرفتنی است که بتوان بر اساس آن عمل کرد. ... زیمل البته می‌گوید اعتماد نمی‌تواند مطلق باشد، بلکه همیشه درجات دارد، یعنی ما همیشه فلان قدر اعتماد به کسی داریم.", سقراط
177, لذت نگریستن و درک طبیعت برترین نعمت است., لارس اسوندسن
178, "آبراهام مزلو دو گونه عشق را توصیف می کندکه با این دو نوع انگیزه همساز و هماهنگ است: «کاستی» و «رشد». «عشق کاستی مدار» عشقی «خودخواهانه» یا «عشق - نیاز» است، در حالی که «عشق هستی مدار» شقی که بر پایه هستی و موجودیت دیگری بنا می شود)، «عشق عاری از نیاز» یا «عشق عاری از خودخواهی» است. «عشق هستی مدار» تملک گرا نیست و بیش از آنکه ناشی از نیاز باشد، حاصل تحسین و ستایش است، تجربه ای غنی تر، والاتر و ارزشمندتر از «عشق کاستی مدار» است. «عشق کاستی مدار» را می توان ارضا کرد، در حالیکه مفهوم ارضا برای «عشق هستی مدار» هیچ کاربردی ندارد. «عشق هستی مدار» کمترین میزان اضطراب-کینه را در خود جای می دهد. عاشقان هستی مدار، مستقل ترند، خودمختاری بیشتری دارند، کمتر حسود یا تهدید کننده اند، کمتر نیازمندند، ابراز علاقه در آنان کمتر است، ولی همزمان بیشتر مشتاقند به طرف مقابل خود در جهت خود شکوفایی یاری رسانند، از پیروزی های آن دیگری بیشتر احساس غرور می کنند، نوع دوست، گشاده دست و پرورنده اند. عشق هستی مدار در معنایی عمیق جفت را می آفریند، امکان خود باروری را فراهم می کند، احساس سزاوار عشق بودن را پدید می آورد و این هردو، رشد مداوم و پیوسته را تسریع می کند.", آلبرت اینشتین
179, فقط احساسی قوی می تواند حریف یک احساس بشود. کار من مشخص است: باید یاد بگیرم عقل را به احساس تبدیل کنم., اروین دیوید یالوم
180, من در حضور خدای سوگند خورده‌ام که دشمن همیشگی هرگونه خودکامگی در اندیشه بشر باشم., اسپینوزا
181, "ما انسانهای مستقلی هستیم که اغلب نیروهای خود را زیادی جدی می‌گیریم، مدام در حال کنش و واکنش‌ایم و غافل‌ایم که بیشتر ارزش‌های زندگی فقط زمانی بدست می‌آیند که سماجت نکنیم، در سکوت از راه می‌رسند آن هم وقتی که اصرار و نیازی در کار نباشد، نه رانشی پشت آن‌هاست و نه کششی از جلو در کار است، بلکه خموشانه و &nbsp;از باهم بودن محض سر بر می‎‌‌آورند.", توماس جفرسون
182, حقیقت را با بی‌طرفی مطلق و با روحی آزاد از هرگونه تعصب جستجو کنید., رولو می
183, جاذبه زمین مسوول افتادن مردم در دام عشق نیست., رنه دکارت
184, "غیرممکن، واژه ای است که تنها در لغتنامه ابلهان یافت می شود.", آلبرت اینشتین
185, "برای اینکه بتوانم در مسیر زندگانی با اطمینان خاطر گام بردارم و عمل کنم، میل فوق العاده ای دارم که بدانم چگونه می توان بین حقیقت و غیر حقیقت، راست و دروغ و درستی و نادرستی تفاوت قایل شد.", ناپلئون بناپارت
186, هندوستان مانند خط استوا یک مفهوم جغرافیایی است و نه یک ملت متحد., رنه دکارت
187, آیا من دشمنان خود را نابود نمی کنم هنگامی که با آنها طرح دوستی می ریزم؟, وینستون چرچیل
188, "فرهنگ ترس، فرهنگ اعتماد نیست؛ و این پیامدهای زیادی برای چگونگی ارتباط افراد با یکدیگر دارد. اعتماد را می‌توان «چسب اجتماعی» توصیف کرد که انسان‌ها را به هم پیوسته نگاه می‌دارد. البته ترس هم می‌تواند انسان‌ها را به هم پیوسته نگاه دارد، اما این به هم پیوسته ماندن از سر ترس الگوی جذابی نیست.", حکیم عمر خیام
189, "من آدم هایی را می شناسم که از طبقه کارگر و زحمتکش هستند، و در عین حال از یک پروفسور خودآگاه تر. اگر 50 ساعت در هفته کار کنی مسلما وقت برای خواندن ده روزنامه در روز و مراجعه به آرشیو طبقه بنده شده دولتی برای کار روشنفکری نداری. اما این آدمهای زحمت کش ممکن است به بصیرتی تصور نکردنی در مورد دنیای اجتماعی شان رسیده باشند.", لارس اسوندسن
190, "صادق ترین،بی توقع ترین،مفیدترین و دائمی ترین رفیق برای هر کسی کتاب است.", نوآم چامسکی
191, "همه چیز کشف شده است، مگر چگونه زیستن.", مارک تواین
192, "زن مانند شیشه ظریف و شکستنی است. هرگز توانایی مقاومت او را نیازمایید، زیرا ممکن است شیشه ناگهان بشکند.", ژان پل سارتر
193, آدم اکراه دارد که بگوید نیت «شاد بودن انسان» در برنامه «آفرینش» جایی نداشته است., میگل د سروانتس
194, "بیان پرسشی بجا، یعنی به نیمه‌راه خردمندی رسیدن", زیگموند فروید
195, بهترین اشخاص کسانی هستند که اگر از آن ها تعریف کردید خجل شوند و اگر بد گفتید سکوت کنند., فرانسیس بیکن
196, تراژدی زندگی اینست که ما خیلی زود پیر می شویم و خیلی دیر خردمند., جبران خلیل جبران
197, "دلنشین‌ترین نقطه در زیبایی، نقطه‌ای است که تصویر قادر به انعکاس آن نیست.", بنجامین فرانکلین
198, "سؤظن، در جمع خصال، به گونه جغد در حلقه پرندگان است؛ آن‌ها همیشه در تاریکی پرواز می‌کنند.", حکیم عمر خیام
199, "مدت ها پیش از آنکه روانشناسی به عنوان یک نظام مستقل وجود داشته باشد، این نویسندگان بزرگ بودند که کار روانشناسان زبردست را انجام می دادند. در ادبیات، نمونه های فراوانی از مرگ آگاهی می توان یافت که موجب تحول فردی شده است. شوک درمانی اگزیستانسیال ابنزر اسکروج[ٍ Ebenezer Scrooge] در سرود کریسمس دیکنز را در نظر بگیرید. دگرگونی فردی شگفت آوری در اسکروج شکل می گیرد، نه در نتیجه شادی ایام عید، بلکه حاصل از رویارویی اجباری با مرگ خودش است. پیام آور دیکنزبح کریسمس آینده) از یک شوکِ درمانی اگزیستانسیال مدد می گیرد: شبح اسکروج را به آینده می برد، جایی که ساعات پایانی زندگی اش را مشاهده می کند، تصادفا می شنود که دیگران به راحتی از مرگش می گذرند و می بیند که غریبه ها بر سر اموالش با یکدیگر نزاع می کنند. تحول اسکروج بلافاصله بعد از صحنه ای اتفاق می افتد که در حیاط کلیسا زانو می زند و بر حروف روی سنگ مزارش دست می کشد.", فرانسیس بیکن
200, "اَلکسی دو توکویل [متفکر فرانسوی قرن نوزدهم] امکان ظهور نوع دیگری از وحشت حکومت استبدادی را مورد توجه قرار می‌دهد. آنجا که جبار، دیگر یک حاکم خودکامه مطلق نیست، بلکه اکثریتی فشرده است که با پراکندن ترسی که نتیجه سقوط مقامات سنتی است نظم لیبرالی را تضعیف می‌کند و از میان می‌برد. توکویل در دوران پس از انقلاب فرانسه بود که می‌نوشت، دورانی که رژیم های کهن اروپایی یکی بعد از دیگری فرو می‌پاشیدند. در این موقعیت، مردم کمتر نگران از دست دادن جانشان بودند - همان چیزی که پایه فلسفه سیاسی هابز بود. - بلکه بیشتر نگران از دست رفتن حقایق سنتی، ماهیت مطلق ارزشهای اخلاقی، و چیزهایی از این قبیل بودند. می‌توان گفت آنچه مردم از آن می‌ترسیدند خود مدرنیته بود، مدرنیته ای که در آن خودشان را در معرض تهدید می‌دیدند. آنها از آینده بیمناک بودند، و به اعتقاد توکویل، برای علاج این ترس و هراسشان بود که می‌خواستند حکومت فوق‌العاده سرکوبگری را برپا کنند که بتواند نظم را برقرار کند و هنجارهای پیشین را دوباره تثبیت کند.", اروین دیوید یالوم
201, "خانم، من ممکن است الان مست باشم، صبح فردا هوشیار خواهم بود، در حالیکه شما هنوز زشت هستید.", لارس اسوندسن
202, "محبت فعال است. عشق بالغانه دوست داشتن است، نه دوست داشته شدن. فرد عاشقانه به دیگری می بخشد، «تسلیم» دیگری نمی شود.", وینستون چرچیل
203, "کارهای برجسته‌ای که آدمی به پیروی از وسوسه‌ای درونی می‌کند، باید ناگفته بماند؛ همین که آن را به زبان بیاوری و از آن لاف بزنی چیزی بیهوده و بی معنی جلوه می‌کند و پست و بی‌مقدار می‌شود.", اروین دیوید یالوم
204, "اگر جنگ هسته ای روزگارمان را سیاه نکند ، تغییرات اقلیمی [گرمایش زمین] حتما خواهد کرد.", ایتالو کالوینو
205, بدتر از مرگ چیست؟ آنچه بعد از آمدنش مرگ را می‌طلبی., نوآم چامسکی
206, "اگر تنها ابزارتان چکش باشد، همه مسائل برایتان تبدیل به میخ می‌شوند.", ویکتور هوگو
207, ترس منشأ اصلی خرافات است و یکی از منشأهای اصلی سنگدلی. غلبه بر ترس نقطه آغاز حکمت در راه رسیدن به حقیقت و در تلاش برای پیدا کردن روش ارزشمندی برای زیستن است., مارک تواین
208, "به گمان من یکی از فرایندهای مهم مدیریت، افشاندن بارانی از تشویق بر سر کارکنان برای پیشرفت آنان است. تشویق باید هم از روح و  هم از جیب کارکنان سر درآورد.", برتراند راسل
209, "زن کامل نوع انسانی والاتری از مرد کامل است، هرچند بسیار کمیاب تر از مرد است.", جک ولش
210, "[پیش از این] مرگ را تجربه ای مرزی خواندم که قادر است فرد را از وجه روزمره ی ذهنی به وجه هستی شناسانه برساندجهی از بودن که در آن از بودنِ خویش آگاهیم)، وجهی که در آن دگرگونی بسیار میسرتر است. «تصمیم» نیز تجربه مرزی دیگری است. نه تنها ما را با مرحله ای رودررو می کند که در آن خود را می آفرینیم، بلکه ما را با محدود بودن چاره ها نیز آشنا می سازد. گرفتن یک تصمیم ما را از دیگر چاره ها محروم می کند. انتخاب یک زن، یک حرفه یا یک مکتب به معنی چشم پوشی از سایر احتمالات است. هرچه بیشتر با محدودیتهایمان مواجه شویم، بیشتر ناچار خواهیم شداز اسطوره خاص بودن، استعدادهای بی پایان، زوال ناپذیری و مصونیت خود در برابر قوانین محتوم زیستی دست برداریم.", فردریش نیچه
211, "آنگاه که جوش و خروش هوی و هوس فرو می‌نشیند، مانند این است که انسان از دست شماری ستمگر دیوانه رسته باشد.", اروین دیوید یالوم
212, "مردمان جهان از خُرد تا بزرگ، تارهای سست از آرزوهای گران بر گرد خویش می تنند و خود، عنکبوت وار میان آنها جای می گیرند. ناگهان ضربت جارویی این تارهای سست را از هم می گسلد. آنگاه همه فریاد بر می آورند که کاخی آراسته به دست ستم ویران شده است.", افلاطون
213, "همه‌ی ما به خوبی زهرِ شکست، فقدان و برباد رفتنِ آرزوها را چشیده‌ایم و می‌دانیم آنان که تمام قله ها را هم فتح کرده‌اند، در اعماقِ وجودشان این طعمِ تلخ را چشیده‌اند! از این روست که تراژدی را بسیار والاتر از کمدی می‌دانیم. کمدی به عنوانِ طنز قابل پذیرش است و به عنوانِ سرگرمی و فرار از واقعیت، لذت بخش می‌باشد ولی افسانه‌ی شاد زیستن برای همیشه را نمی‌توان جدی گرفت چرا که افسانه‌ای وابسته به دنیای کودکانه است. دنیایی به دور از واقعیت های تلخی که در زندگی با آنها روبرو خواهیم شد. همین موضوع درباره‌ی اسطوره‌ی بهشتِ ابدی هم صدق می‌کند که بیشتر به درد کهن سالان می‌خورد، کسانی که زندگی را پشتِ سر گذاشته‌اند و باید آماده‌ی عبور از آخرین در باشند که به سوی شب باز می‌شود.", یوهان ولفگانگ گوته
214, مطالعه کتاب یعنی تبدیل ساعت‌های ملالت‌بار به ساعات لذت بخش., جوزف کمبل
215, پرسش مهمی که هرگز بدان پاسخ داده نشده است و خود من نیز با وجود سی سال پژوهش و مطالعه برای آن پاسخی نیافته ام این است که «خواسته ی زنان چیست؟», شارل دو مونتسکیو
216, "ما، آدمیان را بیشتر به سبب خوبی‌هایی که خود، در حق‌شان کرده‌ایم، دوست می‌داریم، تا به سبب خوبی‌هایی که آنان در حق ما کرده‌اند.", زیگموند فروید
217, "موفقیت و خوشبختی به شما بخشیده می شود، تنها اگر شما سخاوتمندانه آن را با دیگران تقسیم کنید.", لئو تولستوی
218, "پیامدهای کردارمان گریبانمان را می‌گیرند، بی‌اعتنا به اینکه ما درین میانه خود را «اصلاح» کرده ایم.", آلبر کامو
219, "در انحطاط کنونی جامعه، هرکدام از ما سهم به‌سزائی دارد.", فردریش نیچه
220, به من بگو و من فراموش خواهم کرد. به من یاد بده و من به خاطر خواهم سپرد. مرا درگیر کن و من خواهم آموخت., میشل دو مونتینی
221, "هر کس بگوید سیگار را نمی شود ترک کرد، دروغ می گوید! چرا که من خودم صدها بار سیگار را ترک کرده ام.", بنجامین فرانکلین
222, "گاهی کار فقر و بیچارگی به جائی می‌رسد که رشته‌ها و پیوندها را می‌گسلد، این مرحله‌ای است که تیره‌بختان و سیاه‌کاران چون بدانجا رسند درهم آمیخته و در یک کلمه که  کلمه شومی است شریک می‌شوند، این کلمه بینوایان است.", مارک تواین
223, ناخودآگاه هریک از ما به نامیرایی خود یقین دارد., ویکتور هوگو
224, "به نظر می‌رسد که من با تیری در قلب زاده شده‌ام، تیری که تحمل فشار آن در قلب، دردناک است و خارج کردنش کشنده.", زیگموند فروید
